chapter,verse,manuscript,base_reading,ms_reading,type,base_context_10w,ms_context_10w
6,J 6:41,P66,εγογγυζο¯,εγογ' γυζον,substitution_morphological,εγογγυζο¯ ουν οι ϊουδαιοι περι αυ,εγογ' γυζον ουν οι ϊουδαιοι περι αυτου
6,J 6:41,P66,αυ του,αυτου,substitution_morphological,εγογγυζο¯ ουν οι ϊουδαιοι περι αυ του οτι ειπεν εγω ειμι ο,γυζον ουν οι ϊουδαιοι περι αυτου οτι ειπεν εγω ειμι ο
6,J 6:41,P66,[ADD],αρτος,addition,ειπεν εγω ειμι ο αρτος ο καταβας εκ του ουρανου,ειπεν εγω ειμι ο αρτος αρτος ο κα ταβας εκ του
6,J 6:41,P66,καταβας,κα ταβας,substitution_morphological,εγω ειμι ο αρτος ο καταβας εκ του ουρανου,ειμι ο αρτος αρτος ο κα ταβας εκ του ουρανου
6,J 6:41,aleph,εγογγυζο¯,εγογγυζον,substitution_morphological,εγογγυζο¯ ουν οι ϊουδαιοι περι αυ,εγογγυζον ουν οι ϊουδαιοι περι αυ
6,J 6:41,aleph,καταβας,κα ταβας,substitution_morphological,εγω ειμι ο αρτος ο καταβας εκ του ουρανου,εγω ειμι ο αρτος ο κα ταβας εκ του ουρα νου
6,J 6:41,aleph,ουρανου,ουρα νου,substitution_morphological,αρτος ο καταβας εκ του ουρανου,ο κα ταβας εκ του ουρα νου
6,J 6:41,A,εγογγυζο¯,εγογγυζον,substitution_morphological,εγογγυζο¯ ουν οι ϊουδαιοι περι αυ,εγογγυζον ουν οι Ιουδαιοι περι αυτου
6,J 6:41,A,αυ του,αυτου,substitution_morphological,εγογγυζο¯ ουν οι ϊουδαιοι περι αυ του οτι ειπεν εγω ειμι ο,εγογγυζον ουν οι Ιουδαιοι περι αυτου οτι ειπεν εγω ειμι ο
6,J 6:41,A,ουρανου,ουνου,substitution_morphological,αρτος ο καταβας εκ του ουρανου,αρτος ο καταβας εκ του ουνου
6,J 6:41,D,εγογγυζο¯ ουν,εγογγυζον δε,substitution_morphological,εγογγυζο¯ ουν οι ϊουδαιοι περι αυ του,εγογγυζον δε οι ϊουδαιοι περι αυτου οτι
6,J 6:41,D,αυ του,αυτου,substitution_morphological,εγογγυζο¯ ουν οι ϊουδαιοι περι αυ του οτι ειπεν εγω ειμι ο,εγογγυζον δε οι ϊουδαιοι περι αυτου οτι ειπεν εγω ειμι ο
6,J 6:42,P66,ελεγον ουχι,ελε γον οτι ουχ',substitution_morphological,και ελεγον ουχι ουτος εστιν ις ο υιος,και ελε γον οτι ουχ' ουτος εστιν ις ο ϋϊος
6,J 6:42,P66,υιος ϊωσηφ,ϋϊος ϊω σηφ',substitution_morphological,ουχι ουτος εστιν ις ο υιος ϊωσηφ ου ημεις οιδαμεν τον πατερα,ουχ' ουτος εστιν ις ο ϋϊος ϊω σηφ' ου ημεις οιδαμεν πατερα μητεραν
6,J 6:42,P66,[ADD],πατερα μητεραν,addition,υιος ϊωσηφ ου ημεις οιδαμεν τον πατερα και την μητερα,ϊω σηφ' ου ημεις οιδαμεν πατερα μητεραν τον πρα και τη¯ μητερα
6,J 6:42,P66,πατερα,πρα,substitution_morphological,ϊωσηφ ου ημεις οιδαμεν τον πατερα και την μητερα πως νυ¯,ημεις οιδαμεν πατερα μητεραν τον πρα και τη¯ μητερα πως ουν
6,J 6:42,P66,την,τη¯,substitution_morphological,ημεις οιδαμεν τον πατερα και την μητερα πως νυ¯ λεγει οτι,πατερα μητεραν τον πρα και τη¯ μητερα πως ουν λεγει οτι
6,J 6:42,P66,νυ¯,ουν,substitution_lexical,πατερα και την μητερα πως νυ¯ λεγει οτι εκ του ουρα,πρα και τη¯ μητερα πως ουν λεγει οτι εκ του ουρανου
6,J 6:42,P66,ουρα νου,ουρανου,substitution_morphological,νυ¯ λεγει οτι εκ του ουρα νου καταβεβηκα,ουν λεγει οτι εκ του ουρανου καταβεβηκα
6,J 6:42,aleph,ουχι,ουχ,substitution_morphological,και ελεγον ουχι ουτος εστιν ις ο υιος,και ελεγον ουχ ουτος εστιν ις ο υς
6,J 6:42,aleph,υιος ϊωσηφ,υς ϊωσηφ',substitution_morphological,ουχι ουτος εστιν ις ο υιος ϊωσηφ ου ημεις οιδαμεν τον πατερα,ουχ ουτος εστιν ις ο υς ϊωσηφ' ου ημις οιδαμεν και τον
6,J 6:42,aleph,[ADD],και,addition,υιος ϊωσηφ ου ημεις οιδαμεν τον πατερα και την μητερα,υς ϊωσηφ' ου ημις οιδαμεν και τον πατερα και την μρα
6,J 6:42,aleph,μητερα,μρα,substitution_morphological,οιδαμεν τον πατερα και την μητερα πως νυ¯ λεγει οτι εκ,και τον πατερα και την μρα πως ουν ουτος λεγει ε
