chapter,verse,manuscript,base_reading,ms_reading,type,base_context_10w,ms_context_10w
11,J 11:40,A,ο,[OMIT],omission,λεγει αυτη ο ις ουκ ειπον σοι οτι,λεγει αυτη ις ουκ ειπον σοι οτι
11,J 11:41,aleph,[ADD],και,addition,τους οφθαλ μους ανω και ειπεν πατερ ευχαριστω σοι οτι,ηρεν τους οφθαλμους ανω και και ειπεν πατερ' ευχα ριστω σοι
11,J 11:41,A,ο,ου ην Ο,substitution_lexical,ηραν ουν τον λιθον ο δε ις ηρεν τους οφθαλ,ηραν ουν τον λιθον ου ην Ο δε ις ηρεν τους οφθαλμους
11,J 11:41,D,[ADD],οτε ουν,addition,ηραν ουν τον λιθον ο,οτε ουν ηραν τον λιθον και ο
11,J 11:41,D,ουν,[OMIT],omission,ηραν ουν τον λιθον ο δε ις,οτε ουν ηραν τον λιθον και ο ιης
11,J 11:41,D,[ADD],και,addition,ηραν ουν τον λιθον ο δε ις ηρεν τους,οτε ουν ηραν τον λιθον και ο ιης ηρεν τους οφθαλμους
11,J 11:42,D,δε,[OMIT],omission,εγω δε ηδειν οτι παντοτε μου ακουεις,εγω ηδειν οτι παντοτε μου ακουεις
11,J 11:44,aleph,[ADD],και,addition,εξηλθεν ο τεθνηκως δεδεμε νος,και εξηλθεν ο τε θνηκως δεδε
11,J 11:44,A,[ADD],και,addition,εξηλθεν ο τεθνηκως δεδεμε νος,και εξηλθεν ο τεθνη κως δεδεμενος
11,J 11:44,A,[ADD],αυτοις ο,addition,ψις αυτου σουδαριω περιεδεδετο λεγει ις αυτοις λυσατε αυ τον,αυτου σουδαριω περι εδεδετο λεγει αυτοις ο ις λυσατε αυτον και αφετε
11,J 11:44,A,αυτοις,[OMIT],omission,αυτου σουδαριω περιεδεδετο λεγει ις αυτοις λυσατε αυ τον και αφετε,εδεδετο λεγει αυτοις ο ις λυσατε αυτον και αφετε υπαγειν
11,J 11:45,aleph,ουν,δε,substitution_lexical,πολλοι ουν εκ των ϊουδαιων οι ελθοντες,πολλοι δε εκ των ϊουδαιων οι ελθο¯
11,J 11:45,D,εκ,[OMIT],omission,πολλοι ουν εκ των ϊουδαιων οι ελθοντες προς,πολλοι ουν των ϊουδαιων των ελθοντων προς
11,J 11:48,P66,[ADD],το,addition,οι και αρουσιν ημων και τον τοπον και το εθνος,και α ρουσιν ημων και το τον τοπον και το εθνος'
11,J 11:48,D,[ADD],και,addition,εαν αφωμεν αυτον ουτως παντες,και εαν αφωμεν αυτον ουτως παντες
11,J 11:48,D,ημων και,[OMIT],omission,οι ρωμαι οι και αρουσιν ημων και τον τοπον και το εθνος,ελευσονται οι ρωμαιοι και αρουσιν τον τοπον ημων και το
11,J 11:48,D,[ADD],ημων,addition,αρουσιν ημων και τον τοπον και το εθνος,ρωμαιοι και αρουσιν τον τοπον ημων και το εθνος
11,J 11:49,P66,τις,[OMIT],omission,εις δε τις εξ αυ †των καϊαφας αρχιερευς,εις δε εξ αυτων κα ϊαφας αρχιερευς
11,J 11:49,D,[ADD],ων,addition,αυ †των καϊαφας αρχιερευς ων του ενιαυτου εκει νου ειπεν,αυτων κφιφας καϊαφας αρχιερευς ων ων του ενιαυτου εκεινου ειπεν αυτοις
11,J 11:50,aleph,ου δε,ουδε,substitution_morphological,ου δε λογιζεσθε οτι συμ φερει ϋμιν,ουδε λογιζεσθε οτι συμ φερει ϊνα
11,J 11:50,D,ου δε,ουδε,substitution_morphological,ου δε λογιζεσθε οτι συμ φερει ϋμιν,ουδε λογιζεσθε οτι συνφερει ϋμειν ϊνα
11,J 11:51,P66,του το,τουτο,substitution_morphological,του το δε αφ εαυτου ουκ ει,τουτο δε αφ εαυτου ουκ ειπεν
11,J 11:51,aleph,του το,τουτο,substitution_morphological,του το δε αφ εαυτου ουκ ει,τουτο δε αφ εαυ του ουκ
11,J 11:51,A,του το,τουτο,substitution_morphological,του το δε αφ εαυτου ουκ ει,τουτο δε αφ εαυτου ουκ ειπεν
11,J 11:51,D,του το,τουτο,substitution_morphological,του το δε αφ εαυτου ουκ ει,τουτο δε αφ εαυτου ουκ ειπεν
11,J 11:52,aleph,[ADD],δε,addition,και ουχ ϋπερ του εθνους μονον αλ λα ϊνα και,ου χ ϋπερ του εθνους δε μονον αλλ ϊνα και τα
11,J 11:54,P66,ουν,δε,substitution_lexical,ο ουν ις ουκε τι παρησια παρρησια,ο δε ις ουκετι παρρησια πε ριεπατει
11,J 11:57,D,[ADD],και,addition,δεδω κεισαν δε οι αρχιερεις και οι φαρεισαιοι,δεδωκεισαν δε και οι αρχιερεις και οι φαρισαιοι
12,J 12:2,P66,η,[OMIT],omission,αυτω δειπνον ε κει και η μαρθα διηκο νει ο δε,ουν αυτω δειπνον εκει και μαρθα διη κονει ο δε
12,J 12:2,D,[ADD],και,addition,εποιησαν ουν αυτω δειπνον ε,και εποιησαν αυτω δειπνον εκει και
12,J 12:2,D,ουν,[OMIT],omission,εποιησαν ουν αυτω δειπνον ε κει και,και εποιησαν αυτω δειπνον εκει και διηκονι
12,J 12:3,P66,[ADD],του,addition,πολυτειμου ηλει ψεν τους ποδας ιυ και εξεμαξεν ταις θριξιν,πολυτιμου ηλει ψεν τους ποδας του ιυ και ε ξεμαξεν ταις
12,J 12:3,aleph,[ADD],του,addition,πολυτειμου ηλει ψεν τους ποδας ιυ και εξεμαξεν ταις θριξιν,πολυτιμου ηλι ψεν τους ποδας του ιυ και εξεμαξεν ταις θριξιν
12,J 12:3,A,[ADD],του,addition,πολυτειμου ηλει ψεν τους ποδας ιυ και εξεμαξεν ταις θριξιν,πο λυτιμου ηλειψεν τους ποδας του ιυ και εξεμαξεν ταις θρη
12,J 12:4,D,[ADD],εκ,addition,δε ϊουδας ο ϊσκαριωτης εις των μαθητων αυτου ο μελ,λεγει ουν εις εκ των μαθητων αυτου ϊουδας απο
12,J 12:6,aleph,τουτο,του το,substitution_morphological,ειπε¯ δε τουτο ουχ οτι πε ρι των,ειπεν δε του το ουχ οτι περι τω¯ πτωχων
12,J 12:9,aleph,ο,[OMIT],omission,εγνω ουν ο οχλος πο λυς εκ των,εγνω ουν οχλος πολυς εκ των ϊου
12,J 12:9,A,ο,[OMIT],omission,εγνω ουν ο οχλος πο λυς εκ των,εγνω ουν οχλος Πολυς εκ των ιουδαιων
12,J 12:10,P66,και,[OMIT],omission,εβουλευσαντο δε και οι αρχιερεις ϊνα και το¯,εβουλευσαντο δε οι αρχιερεις ϊνα και τον
12,J 12:10,aleph,και,[OMIT],omission,εβουλευσαντο δε και οι αρχιερεις ϊνα και το¯,εβουλευσα¯ το δε οι αρχϊερεις ϊνα και τον
12,J 12:10,D,και,[OMIT],omission,εβουλευσαντο δε και οι αρχιερεις ϊνα και το¯,εβουλευσαντο δε οι αρχιερεις ϊνα και τον
12,J 12:13,P66,και,[OMIT],omission,ερχο μενος εν ονοματι κυ και ο βασιλευς του ισραηλ,ερχο μενος εν ονοματι κυ ο βασι λευς του ϊσραηλ
12,J 12:13,aleph,[ADD],και,addition,ερχο μενος εν ονοματι κυ και ο βασιλευς του ισραηλ,ερχομενος εν ο νοματι κυ και και ο βασιλευς του ισραηλ
12,J 12:13,A,και ο,[OMIT],omission,ερχο μενος εν ονοματι κυ και ο βασιλευς του ισραηλ,ο ερχομενος εν ονοματι κυ βασιλευς του ιηλ
12,J 12:13,D,και,[OMIT],omission,ερχο μενος εν ονοματι κυ και ο βασιλευς του ισραηλ,ο ερχομενος εν ονοματι κυ ο βασιλευς του ιστραηλ
12,J 12:15,P66,η,[OMIT],omission,μη φοβου η θυγατηρ σει ων ϊδου ο,μη φοβου θυγατηρ σει' ων ιδου ο
12,J 12:15,A,η,[OMIT],omission,μη φοβου η θυγατηρ σει ων ϊδου ο,μη φοβου θυγατηρ σειων ιδου ο βασιλευς
12,J 12:15,A,σου,[OMIT],omission,σει ων ϊδου ο βασιλευς σου ερχεται καθημενος επι πωλον ονου,θυγατηρ σειων ιδου ο βασιλευς ερχεται καθημε νος επι πωλον
12,J 12:15,D,η,[OMIT],omission,μη φοβου η θυγατηρ σει ων ϊδου ο,μη φοβου θυγατηρ σιων ϊδου ο βασιλευς
12,J 12:16,P66,[ADD],ο,addition,το πρωτον αλλ οτε εδοξασθη ις το τε εμνησθησαν οτι,πρωτον αλ λ οτε εδοξασθη ο ις τοτε εμνησθησα¯ οτι ταυτα
12,J 12:16,P66,[ADD],εν,addition,εμνησθησαν οτι ταυ τα ην επ αυτω γεγραμ μενα και,εμνησθησα¯ οτι ταυτα η ην εν επ αυτω γεγραμμε να και
12,J 12:16,aleph,οτε,ο τε,substitution_morphological,οι μαθηται το πρωτον αλλ οτε εδοξασθη ις το τε εμνησθησαν,οι μαθηται το πρωτον αλλ ο τε εδοξασθη ις το τε εμνησθησαν
12,J 12:16,A,ταυτα,Ταυτα δε,substitution_morphological,ταυτα ουκ εγνωσαν αυτου οι μαθηται,Ταυτα δε ουκ εγνωσαν οι μαθη ται
12,J 12:16,D,[ADD],δε,addition,ταυτα ουκ εγνωσαν αυτου οι μαθηται,ταυτα δε ουκ ενοησαν οι μαθηται αυτου
12,J 12:16,D,[ADD],αυτου,addition,ουκ εγνωσαν αυτου οι μαθηται το πρωτον αλλ οτε εδοξασθη,δε ουκ ενοησαν οι μαθηται αυτου το πρωτον αλλ οτε εδοξασθη
12,J 12:17,P66,οτε,οτι,substitution_morphological,ο ων με τ αυτου οτε τον λαζα ρον εφωνησεν εκ,οχλος ο ων μετ αυτου οτι τον λαζαρον εφωνησεν εκ του
12,J 12:17,D,οτε,οτι,substitution_morphological,ο ων με τ αυτου οτε τον λαζα ρον εφωνησεν εκ,οχλος ο ων μετ αυτου οτι τον λαζαρον εφωνησεν εκ του
12,J 12:19,P66,[ADD],αυτους,addition,ουν φαρεισαιοι ει παν προς εαυτους θε ωρειτε οτι ουκ,ουν φαρισαιοι ει παν προς αυτους εαυτους θεωριτε οτι ουκ ωφελιται
12,J 12:20,D,[ADD],και,addition,ησαν δε ελληνες τινες εκ των αναβαινο¯,ησαν δε και ελληνες τινες εκ των αναβαινοντων
12,J 12:22,P66,[ADD],δε,addition,τω ανδρεα ερχε ται ανδρεας και φιλιπ πος και λεγουσιν,ανδρεα και παλιν ο ανδρεας δε και ο φιλιππος λεγουσιν τω
12,J 12:22,aleph,ο,[OMIT],omission,ερχεται ο φιλιππος και λεγει τω ανδρεα,ερχεται φιλιππος και λεγει τω αν
12,J 12:22,A,ο,[OMIT],omission,ερχεται ο φιλιππος και λεγει τω ανδρεα,ερχεται φιλιππος και λεγει τω ανδρεα
12,J 12:22,D,ο,[OMIT],omission,ερχεται ο φιλιππος και λεγει τω ανδρεα,ερχεται φιλιππος και λεγει τω ανδρεα
12,J 12:25,A,τουτω,του τω,substitution_morphological,ψυχην αυτου εν τω κοσμω τουτω εις ζωην αιωνιον φυλα ξει,ψυχην αυτου εν τω κοσμω του τω εις ζωην αιωνιον φυλα ξει
12,J 12:26,P66,[ADD],δε,addition,νος ο εμος εσται εαν τις εμοι διακονη τιμη σει,ο εμος εστιν εστε εαν δε τις εμοι δια κονη τιμησει
12,J 12:26,A,[ADD],και,addition,διακο νος ο εμος εσται εαν τις εμοι διακονη τιμη,δια κονος ο εμος εσται και εαν τις εμοι διακονη τιμησει
12,J 12:26,D,εμοι,[OMIT],omission,εαν εμοι τις διακονη εμοι ακο λουθειτω,εαν τις μοι διακονη εμοι ακολουθειτω
12,J 12:26,D,[ADD],μοι,addition,εαν εμοι τις διακονη εμοι ακο λουθειτω και,εαν τις μοι διακονη εμοι ακολουθειτω και οπου
